,path,xmin,ymin,xmax,ymax,label,width,height
89,BD_71/Andrena haemorrhoa/Andrena haemorrhoa66723.jpeg,111.60714285714286,167.41071428571428,392.8571428571428,341.5178571428572,Anthophila,500,500
90,BD_71/Bombus hortorum/Bombus hortorum65442.jpeg,105.0,105.0,416.25,308.75,Anthophila,500,499
91,BD_71/Andrena flavipes/Andrena flavipes78620.jpg,145.0,77.50000000000001,291.25,203.75,Anthophila,500,333
92,BD_71/Melecta albifrons/Melecta albifrons2802.jpg,16.25,56.7578125,478.75,328.00781250000006,Anthophila,500,333
93,BD_71/Bombus hortorum/DH9_3850-4.jpg,6.25,58.75,330.00000000000006,462.5,Anthophila,333,500
94,BD_71/Anthophora plumipes/Anthophora plumipes60023.jpeg,76.25,105.0,201.25,220.0,Anthophila,500,375
95,BD_71/Andrena flavipes/Andrena flavipes2879.jpg,136.16071428571428,37.16517857142857,322.5,203.75,Anthophila,500,333
96,BD_71/Anthidiellum strigatum/Anthidiellum strigatum72771.jpeg,165.17857142857142,33.482142857142854,378.75,327.5,Anthophila,500,375
97,BD_71/Bombus pascuorum/Bombus pascuorum34450.jpeg,20.0,0.0,372.5,391.25,Anthophila,375,500
98,BD_71/Bombus sylvarum/Bombus sylvarum7457.jpeg,200.0,131.25,312.5,217.5,Anthophila,500,375
99,BD_71/Andrena vaga/Andrena vaga68993.jpg,102.5,131.25,308.75,321.25,Anthophila,385,500
100,BD_71/Bombus pascuorum/Bombus pascuorum71622.jpeg,32.5,42.50000000000001,440.0,370.0,Anthophila,500,388
101,BD_71/Anthidium manicatum/Anthidium manicatum50333.jpeg,116.07142857142856,40.17857142857143,416.25,335.0,Anthophila,500,375
102,BD_71/Halictus rubicundus/Halictus rubicundus22755.jpeg,197.5,113.0078125,296.25,225.5078125,Anthophila,500,375
103,BD_71/Ceratina cucurbitina/Ceratina cucurbitina20863.jpg,109.82142857142856,170.04165649414062,508.0,571.4285714285713,Anthophila,600,800
104,BD_71/Andrena florea/Andrena florea70787.jpeg,214.28571428571428,150.07142857142858,308.75,227.5,Anthophila,500,382
105,BD_71/Anthidium manicatum/Anthidium manicatum47573.jpeg,127.23214285714286,158.48214285714286,353.2366071428571,321.42857142857144,Anthophila,375,500
106,BD_71/Bombus vestalis/Bombus vestalis79999.jpg,206.25,113.0078125,357.5,279.2578125,Anthophila,500,371
107,BD_71/Andrena fulva/Andrena fulva67639.jpeg,78.125,26.785714285714285,433.75,281.25,Anthophila,500,375
108,BD_71/Apis mellifera/Apis mellifera5550.jpg,34.0,116.0,530.0,680.0,Anthophila,600,800
109,BD_71/Andrena agilissima/IMG_8594_small.jpg,60.267857142857146,41.174107142857146,368.75,339.99999999999994,Anthophila,500,401
110,BD_71/Hylaeus variegatus/Hylaeus variegatus38383.jpeg,110.0,38.75,386.25,453.75,Anthophila,499,500
111,BD_71/Megachile ericetorum/Megachile ericetorum52469.jpg,61.25,5.000000000000001,405.0,321.25000000000006,Anthophila,500,333
112,BD_71/Bombus pratorum/Bombus pratorum95329.jpeg,67.5,11.25,445.0,332.50000000000006,Anthophila,500,333
113,BD_71/Colletes hederae/Colletes hederae17861.jpg,38.75,85.0,466.25,371.25,Anthophila,500,375
114,BD_71/Bombus lapidarius/Bombus lapidarius40286.jpeg,91.25,12.5,381.25,262.5,Anthophila,500,375
115,BD_71/Megachile ericetorum/Megachile ericetorum83044.jpg,82.5,125.0,393.75,303.75000000000006,Anthophila,500,333
116,BD_71/Bombus vestalis/Bombus vestalis87388.jpeg,108.75,120.0,282.5,281.25,Anthophila,500,333
117,BD_71/Bombus bohemicus/Bombus bohemicus8490.jpg,71.25,50.0,315.0,318.75,Anthophila,500,375
118,BD_71/Andrena fulva/Andrena fulva48019.jpg,5.022321428571429,108.75,340.0,437.5,Anthophila,375,500
119,BD_71/Bombus ruderatus/Bombus ruderatus22919.jpeg,187.5,82.5,310.0,218.75,Anthophila,500,375
120,BD_71/Bombus rupestris/Bombus rupestris49187.jpg,156.25,241.25,266.25,371.25,Anthophila,375,500
121,BD_71/Andrena vaga/P1230629 - Copie.jpg,177.5,117.5,378.75,271.25,Anthophila,500,375
122,BD_71/Anthophora plumipes/Anthophora plumipes3446.jpg,272.5,37.50000000000001,396.25,161.25000000000003,Anthophila,500,333
123,BD_71/Xylocopa violacea/Xylocopa violacea21765.jpg,0.0,110.8125,694.0,600.0,Anthophila,800,600
124,BD_71/Bombus pratorum/Bombus pratorum2339.jpg,83.75,73.75,413.75,347.5,Anthophila,500,375
125,BD_71/Anthidium septemspinosum/Anthidium septemspinosum14379.jpg,238.75,161.25,330.0,266.25,Anthophila,500,439
126,BD_71/Halictus scabiosae/Halictus scabiosae86919.jpeg,0.0,282.5,146.25,377.5,Anthophila,375,500
127,BD_71/Megachile ericetorum/Megachile ericetorum77537.jpeg,11.249999999999998,246.25,133.75,356.25,Anthophila,281,500
128,BD_71/Andrena bicolor/IMGP3665.jpg,145.08928571428572,64.75,345.98214285714283,215.3928571428572,Anthophila,500,296
129,BD_71/Bombus argillaceus/Bombus argillaceus48354.jpeg,125.0,99.04017857142858,296.25,290.0,Anthophila,500,435
130,BD_71/Andrena nigroaenea/2020-01-16 NDdlG Hymenoptera 11 a 12 mm Andrena F Andrena bicolor ou carantonica trimmerana 1.jpeg,55.0,35.714285714285715,450.0,476.25,Anthophila,495,500
131,BD_71/Bombus bohemicus/Bombus bohemicus69149.jpeg,148.71428571428572,147.32142857142858,274.19196428571433,258.92857142857144,Anthophila,347,500
132,BD_71/Bombus lapidarius/Bombus lapidarius14923.jpg,36.24999999999999,90.0,412.5,333.75,Anthophila,472,500
133,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata69442.jpeg,98.21428571428572,100.44642857142856,359.375,318.0803571428572,Anthophila,500,375
134,BD_71/Osmia bicornis/Osmia bicornis15284.jpeg,76.25,70.0,417.5,435.0,Anthophila,482,500
135,BD_71/Bombus pascuorum/Bombus pascuorum47517.jpeg,80.0,41.24999999999999,452.5,401.25,Anthophila,500,442
136,BD_71/Anthidium florentinum/Anthidium florentinum628.jpg,137.5,58.75000000000001,346.25,185.0,Anthophila,500,375
137,BD_71/Colletes hederae/Colletes hederae89931.jpg,103.75,131.25,270.0,283.75,Anthophila,282,500
138,BD_71/Bombus sylvarum/Bombus sylvarum55770.jpeg,153.75,18.75,382.5,218.75,Anthophila,492,500
139,BD_71/Bombus pascuorum/Bombus pascuorum10829.jpg,73.75,18.750000000000004,442.5,336.25000000000006,Anthophila,500,343
140,BD_71/Bombus muscorum/Bombus muscorum86438.jpeg,128.75,108.75,337.5,276.25,Anthophila,500,375
141,BD_71/Heriades truncorum/Heriades truncorum38712.jpeg,96.25,52.50000000000001,431.25,240.0,Anthophila,500,375
142,BD_71/Anthidium manicatum/Anthidium manicatum83997.jpeg,31.01,38.7625,399.8075,417.5275,Anthophila,443,441
143,BD_71/Ceratina cucurbitina/Ceratina cucurbitina2453.jpg,282.1428571428572,37.5625,539.2857142857143,560.7544642857143,Anthophila,800,601
144,BD_71/Bombus vestalis/Bombus vestalis78379.jpeg,165.0,218.0078125,263.75,308.0078125,Anthophila,375,500
145,BD_71/Bombus lucorum/Bombus lucorum15981.jpg,176.25,335.0,298.75,428.75,Anthophila,375,500
146,BD_71/Andrena haemorrhoa/Andrena haemorrhoa62749.jpeg,177.5,218.75,431.25,443.75,Anthophila,500,500
147,BD_71/Andrena vaga/Andrena vaga62072.jpg,247.5,135.0,316.25,205.0,Anthophila,500,333
148,BD_71/Halictus rubicundus/Halictus rubicundus23192.jpg,151.25,189.2578125,207.5,278.0078125,Anthophila,375,500
149,BD_71/Bombus rupestris/Bombus rupestris83604.jpeg,73.75,65.0,347.5,285.0,Anthophila,500,373
150,BD_71/Osmia caerulescens/Osmia caerulescens11603.jpeg,175.0,58.0078125,433.75,320.5078125,Anthophila,500,375
151,BD_71/Rhodanthidium septemdentatum/Rhodanthidium septemdentatum85078.png,158.75,69.86607142857143,406.25,224.2578125,Anthophila,500,313
152,BD_71/Osmia bicornis/Osmia bicornis88678.jpeg,140.0,46.25,365.0,261.25,Anthophila,500,375
153,BD_71/Megachile centuncularis/2020-07-28-.jpg,1.25,6.25,267.5,277.0,Anthophila,500,277
154,BD_71/Osmia cornuta/Osmia cornuta5802.jpg,6.696428571428571,38.65178571428572,437.5,309.2142857142857,Anthophila,500,333
155,BD_71/Xylocopa valga/Xylocopa valga53642.jpg,51.25,69.37053571428571,406.25,313.75,Anthophila,500,379
156,BD_71/Bombus pratorum/Bombus pratorum40069.jpeg,13.75,33.75,485.0,338.75,Anthophila,500,375
157,BD_71/Colletes hederae/Colletes hederae46647.jpeg,125.0,56.25000000000001,437.5,290.0,Anthophila,500,333
158,BD_71/Bombus sylvarum/Bombus sylvarum46857.jpeg,40.0,158.75,158.74999999999997,307.5,Anthophila,243,500
159,BD_71/Bombus lapidarius/Bombus lapidarius56143.jpeg,216.25,156.25,326.25,280.0,Anthophila,500,479
160,BD_71/Bombus lapidarius/Bombus lapidarius6704.jpg,135.0,92.5,331.25,251.25,Anthophila,375,500
161,BD_71/Macropis europaea/P1430108-0.jpg,12.5,163.75,172.5,328.75,Anthophila,500,335
162,BD_71/Osmia cornuta/Osmia cornuta7830.jpeg,143.75,105.0,256.25,216.25,Anthophila,333,500
163,BD_71/Bombus lucorum/Bombus lucorum84343.jpeg,137.5,92.5,460.0,361.25,Anthophila,500,375
164,BD_71/Anthidiellum strigatum/Anthidiellum strigatum96547.jpeg,113.75,226.25,232.5,487.5,Anthophila,422,500
165,BD_71/Anthophora plumipes/Anthophora plumipes22660.jpg,36.25,145.0,270.0,323.75000000000006,Anthophila,500,373
166,BD_71/Andrena haemorrhoa/Andrena haemorrhoa23741.jpg,44.642857142857146,88.23214285714286,419.6428571428572,318.6160714285714,Anthophila,500,366
167,BD_71/Anthidium manicatum/anfhidiummale_de.jpg,2.5,3.3482142857142856,446.25,216.25,Anthophila,500,375
168,BD_71/Ceratina cucurbitina/Ceratina cucurbitina5880.jpg,142.0,240.04165649414065,268.0,468.0416564941407,Anthophila,530,800
169,BD_71/Bombus vestalis/Bombus vestalis73214.jpg,162.94642857142858,69.87053571428571,410.7142857142857,288.40178571428567,Anthophila,500,333
170,BD_71/Andrena hattorfiana/Andrena hattorfiana72352.jpg,99.42857142857144,162.94642857142858,310.0,376.25,Anthophila,464,500
171,BD_71/Osmia cornuta/Osmia cornuta82176.jpg,26.250000000000004,181.25,307.5,326.25,Anthophila,375,500
172,BD_71/Bombus pascuorum/Bombus pascuorum48507.jpg,2.5,93.75,373.75,441.25,Anthophila,396,500
173,BD_71/Colletes hederae/Colletes hederae4773.jpg,38.0,174.0,528.0,708.0,Anthophila,600,800
174,BD_71/Halictus scabiosae/Halictus scabiosae96749.jpeg,226.25,117.5,328.75,195.0,Anthophila,500,334
175,BD_71/Anthidium manicatum/Anthidium-cf-manicatum-Moules-Rte-Mandon-20210607-min.jpg,8.75,278.75,221.25,492.5,Anthophila,445,500
176,BD_71/Xylocopa valga/Xylocopa valga94241.jpeg,176.33928571428572,121.25,305.0,234.88392857142856,Anthophila,500,333
177,BD_71/Xylocopa valga/Xylocopa valga20849.jpeg,292.5,137.5,351.25,186.25,Anthophila,500,375
178,BD_71/Andrena hattorfiana/Andrena hattorfiana20059.jpeg,100.0,168.92857142857142,240.0,366.25,Anthophila,500,440
179,BD_71/Bombus lapidarius/Bombus lapidarius52713.jpeg,195.0,131.25,371.25,321.25,Anthophila,500,500
180,BD_71/Halictus rubicundus/Halictus rubicundus59082.jpg,82.50000000000001,66.96428571428571,276.25,426.7578125,Anthophila,333,500
181,BD_71/Bombus pascuorum/Bombus pascuorum47748.jpeg,2.5,15.0,438.75,430.0,Anthophila,500,500
182,BD_71/Heriades truncorum/Heriades truncorum40766.jpg,47.5,96.25,300.0,262.5,Anthophila,500,333
183,BD_71/Osmia bicornis/Osmia bicornis1130.jpeg,26.785714285714285,43.75,477.5,471.25,Anthophila,500,500
184,BD_71/Macropis europaea/Macropis europaea43762.jpeg,97.5,103.75,421.25,417.5,Anthophila,436,500
185,BD_71/Osmia bicornis/Osmia bicornis32753.jpg,70.85714285714286,37.94642857142857,393.75,422.5,Anthophila,496,500
186,BD_71/Halictus rubicundus/Halictus rubicundus94806.jpeg,154.01785714285714,191.9642857142857,445.0,428.0078125,Anthophila,500,500
187,BD_71/Bombus bohemicus/psy2fullbohemicu.jpg,41.25,156.25,181.25,355.0,Anthophila,234,500
188,BD_71/Dasypoda hirtipes/Dasypoda hirtipes38590.jpg,133.75,88.0078125,332.5,275.5078125,Anthophila,500,349
189,BD_71/Bombus bohemicus/Bombus bohemicus25949.jpeg,242.5,141.25,415.0,333.24107142857144,Anthophila,500,377
190,BD_71/Megachile ericetorum/Megachile ericetorum95653.jpeg,205.0,16.25,403.75,236.25,Anthophila,500,500
191,BD_71/Xylocopa violacea/Xylocopa violacea6966.jpg,62.0,108.8125,696.4285714285714,503.57142857142856,Anthophila,800,600
192,BD_71/Andrena haemorrhoa/Andrena haemorrhoa95062.jpeg,131.69642857142858,83.75,396.25,321.25,Anthophila,500,373
193,BD_71/Bombus hortorum/Bombus hortorum41800.jpeg,106.25,76.25,436.25,288.75,Anthophila,500,375
194,BD_71/Osmia bicornis/Osmia bicornis5647.jpg,49.10714285714285,49.05803571428572,415.0,313.75000000000006,Anthophila,500,333
195,BD_71/Sphecodes albilabris/Sphecodes albilabris89174.jpeg,135.0,71.25,326.25,267.5,Anthophila,500,375
196,BD_71/Osmia bicornis/Osmia bicornis27770.jpg,76.25,66.25,396.25,448.75,Anthophila,492,500
197,BD_71/Nomada goodeniana/Nomada goodeniana8855.jpg,8.75,12.500000000000002,482.5,418.75,Anthophila,500,429
198,BD_71/Colletes hederae/Colletes hederae19160.jpg,60.0,62.0,554.0,700.0,Anthophila,601,800
199,BD_71/Colletes hederae/Colletes hederae50237.jpg,1.25,158.75,311.25,433.75,Anthophila,375,500
200,BD_71/Andrena fulva/Andrena fulva69399.jpg,120.53571428571428,26.250000000000004,462.5,236.25000000000003,Anthophila,500,333
201,BD_71/Andrena clarkella/Andrena clarkella60927.jpg,125.0,132.5,332.5,235.3928571428572,Anthophila,500,312
202,BD_71/Andrena nigroaenea/andrena_14mm_24.d.jpg,1.25,43.75,240.0,272.5,Anthophila,500,283
203,BD_71/Anthophora bimaculata/Anthophora bimaculata14553.jpeg,181.25,128.75,353.75,256.24999999999994,Anthophila,500,362
204,BD_71/Bombus hortorum/Bombus hortorum80011.jpg,51.25,105.0,282.5,382.5,Anthophila,375,500
205,BD_71/Xylocopa violacea/Xylocopa violacea7558.jpg,150.0,36.8125,750.0,572.8125,Anthophila,800,602
206,BD_71/Halictus scabiosae/Halictus scabiosae91015.jpeg,1.25,120.0,261.25,351.25,Anthophila,375,500
207,BD_71/Anthidium manicatum/Anthidium manicatum91250.jpeg,102.5,116.25,291.25,407.5,Anthophila,369,500
208,BD_71/Bombus pratorum/DSC_5846.jpg,23.75,48.75,317.5,312.5,Anthophila,500,331
209,BD_71/Nomada goodeniana/Nomada goodeniana67589.jpg,95.0,3.75,380.0,278.75,Anthophila,500,334
210,BD_71/Colletes hederae/25septembre7.jpg.jpg,320.0,44.99999999999999,433.75,201.25,Anthophila,500,261
211,BD_71/Osmia aurulenta/Osmia aurulenta95562.jpeg,218.75,104.2578125,327.5,225.5078125,Anthophila,500,375
212,BD_71/Andrena florea/Andrena florea76421.jpg,101.25,213.75,200.0,321.25,Anthophila,500,425
213,BD_71/Bombus ruderatus/Bombus ruderatus48918.jpg,98.75,67.5,252.5,277.5,Anthophila,375,500
214,BD_71/Xylocopa valga/Xylocopa valga15394.jpeg,212.05357142857144,130.82142857142858,296.875,200.69196428571425,Anthophila,500,333
215,BD_71/Halictus rubicundus/Halictus rubicundus33746.jpeg,192.5,152.78571428571428,392.8571428571428,279.2578125,Anthophila,500,368
216,BD_71/Andrena vaga/Andrena vaga24186.jpeg,111.25,117.5,376.25,281.25,Anthophila,500,375
217,BD_71/Dasypoda hirtipes/dasypoda2_13mm_0.jpg,66.96428571428571,3.174107142857143,257.5,204.2578125,Anthophila,500,237
218,BD_71/Bombus vestalis/Bombus vestalis33410.jpg,170.0,225.5078125,296.25,363.0078125,Anthophila,375,500
219,BD_71/Ceratina cucurbitina/Ceratina cucurbitina45914.jpeg,176.25,55.004464285714285,288.75,185.02603530883792,Anthophila,500,333
220,BD_71/Colletes cunicularius/Colletes cunicularius68518.jpeg,117.5,111.25,390.0,247.50000000000003,Anthophila,500,333
