path,xmin,ymin,xmax,ymax,label,width,height
BD_71/Dasypoda hirtipes/Dasypoda hirtipes11700.jpg,35.0,105.5078125,486.25,368.0078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81117.jpg,0.0,66.96428571428571,193.75000000000003,371.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81117.jpg,47.50000000000001,190.5078125,275.0,496.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84652.jpg,107.5,119.2578125,288.75,238.0078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84652.jpg,21.25,244.2578125,375.0,433.0078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83888.jpeg,77.5,116.7578125,443.75,483.0078125,Dasypoda hirtipes,457,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85661.jpeg,58.75000000000001,0.5078125,330.0,399.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes14770.jpeg,26.25,69.2578125,418.75,400.5078125,Dasypoda hirtipes,456,500
BD_71/Dasypoda hirtipes/eucera_chic_des1.jpg,52.5,15.507812499999998,491.25,460.5078125,Dasypoda hirtipes,500,467
BD_71/Dasypoda hirtipes/Dasypoda hirtipes79324.jpg,110.0,116.7578125,415.0,388.0078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes82740.jpeg,7.499999999999999,90.5078125,372.5,448.0078125,Dasypoda hirtipes,442,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85464.jpeg,47.50000000000001,69.2578125,335.0,408.0078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes1938.jpeg,43.52678571428571,99.2578125,220.0,389.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes1938.jpeg,187.5,108.0078125,352.5,434.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes40463.jpeg,31.25,105.5078125,488.75,294.6428571428571,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83964.jpeg,102.5,16.7578125,442.5,411.7578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes77095.jpeg,67.5,81.7578125,321.25,395.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes41993.jpg,30.0,3.0078125,498.75,294.2578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83966.jpeg,91.25,13.0078125,403.75,398.0078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes40732.jpeg,16.25,76.7578125,477.5,438.0078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes41622.jpeg,91.51785714285714,23.4375,417.5,286.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85767.jpeg,102.5,46.7578125,241.25,236.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85767.jpeg,71.25,166.7578125,261.25,355.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85767.jpeg,75.0,315.5078125,166.25,464.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85767.jpeg,212.5,220.5078125,308.75,386.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes86162.jpg,55.0,119.2578125,358.75,435.5078125,Dasypoda hirtipes,500,473
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84437.jpeg,82.5,29.2578125,412.5,319.2578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85515.jpeg,73.75,1.7578125,296.25,226.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes86963.jpg,28.75,70.5078125,457.5,281.7578125,Dasypoda hirtipes,500,321
BD_71/Dasypoda hirtipes/Dasypoda hirtipes5986.jpg,147.5,39.25781250000001,453.75,285.5078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes37549.jpg,83.75,148.0078125,243.75,389.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes5983.jpg,60.267857142857146,25.272321428571427,467.5,301.7578125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes39274.jpg,32.5,44.2578125,486.6071428571428,256.13839285714283,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/dsc11001_edited_.jpg,95.98214285714286,16.401785714285715,436.25,321.7578125,Dasypoda hirtipes,500,334
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81906.jpeg,25.111607142857142,127.23214285714285,343.75,414.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84706.jpeg,70.0,69.2578125,443.75,313.0078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes31729.jpeg,29.017857142857142,74.2578125,383.75,340.5078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes51854.jpeg,56.875,147.32142857142858,382.5,299.2578125,Dasypoda hirtipes,490,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes36221.jpeg,55.80357142857143,75.33482142857143,418.75,330.5078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/5d011935b.jpg,78.125,7.522321428571429,375.0,294.875,Dasypoda hirtipes,500,337
BD_71/Dasypoda hirtipes/Dasypoda hirtipes17453.jpeg,20.0,66.96428571428571,392.5,346.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83967.jpeg,33.482142857142854,138.39285714285714,416.25,361.7578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85335.jpg,46.875,78.125,371.25,359.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes14190.jpeg,64.73214285714286,78.79017857142857,468.75,285.4285714285715,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes33368.jpg,16.25,31.21875,381.25,279.2578125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes33618.jpg,26.785714285714285,31.21875,380.0,280.5078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes22824.jpeg,23.75,61.7578125,483.75,315.50781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81740.jpg,38.75,80.5078125,218.75,213.0078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes5987.jpg,44.642857142857146,63.00781250000001,425.0,328.00781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83409.jpeg,156.25,26.7578125,366.25,266.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes50974.jpeg,217.5,88.0078125,335.0,171.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes86279.jpg,197.5,179.2578125,305.0,320.5078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81310.jpg,133.75,11.7578125,498.75,331.7578125,Dasypoda hirtipes,500,334
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83865.jpg,101.25,108.0078125,353.75,383.0078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83963.jpeg,93.75,94.2578125,465.0,374.2578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes13117.jpg,0.0,71.42857142857143,277.5,300.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes5985.jpg,29.017857142857142,80.27678571428571,465.0,259.2578125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/5ds78576.jpg,95.98214285714286,53.517857142857146,407.5,248.00781250000003,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes39248.jpg,93.75,49.10714285714285,415.1785714285714,292.4107142857143,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes14455.jpg,90.0,19.2578125,407.5,293.0078125,Dasypoda hirtipes,500,368
BD_71/Dasypoda hirtipes/Dasypoda hirtipes87230.jpeg,67.5,49.25781250000001,408.4821428571428,261.6428571428572,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes56817.jpeg,69.19642857142857,41.625,431.25,304.25781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes43652.jpg,78.125,43.00781250000001,388.75,320.50781250000006,Dasypoda hirtipes,500,353
BD_71/Dasypoda hirtipes/Dasypoda hirtipes44927.jpg,128.75,55.5078125,353.75,363.0078125,Dasypoda hirtipes,500,379
BD_71/Dasypoda hirtipes/Dasypoda hirtipes87207.jpeg,101.25,101.7578125,407.5,278.0078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes37563.jpg,95.0,46.7578125,422.5,350.5078125,Dasypoda hirtipes,500,379
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83311.jpg,117.5,133.0078125,372.5,428.0078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/5db23143.jpg,90.0,75.5078125,273.75,221.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/5db23143.jpg,96.25,279.2578125,201.25,433.0078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes86089.jpg,183.75,163.0078125,383.75,270.5078125,Dasypoda hirtipes,500,374
BD_71/Dasypoda hirtipes/Dasypoda hirtipes4813.jpeg,128.75,173.0078125,292.5,340.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6243.jpg,25.272321428571427,42.410714285714285,248.75000000000003,351.7578125,Dasypoda hirtipes,333,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes35430.jpg,63.61607142857143,104.91071428571428,367.5,390.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes40980.jpg,70.0,48.0078125,416.25,335.5078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes36785.jpg,46.875,111.60714285714286,350.0,419.2578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes14047.jpg,91.25,140.5078125,233.75,275.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes44894.jpg,128.75,121.7578125,441.25,340.5078125,Dasypoda hirtipes,500,447
BD_71/Dasypoda hirtipes/dasypoda2_13mm_0.jpg,66.96428571428571,3.174107142857143,257.5,204.2578125,Dasypoda hirtipes,500,237
BD_71/Dasypoda hirtipes/dasypoda2_13mm_0.jpg,307.5,0.0,452.5,135.5078125,Dasypoda hirtipes,500,237
BD_71/Dasypoda hirtipes/Dasypoda hirtipes82029.jpeg,166.25,115.5078125,383.75,381.7578125,Dasypoda hirtipes,500,496
BD_71/Dasypoda hirtipes/Dasypoda hirtipes78459.jpg,108.75,138.0078125,392.5,339.2578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/sur_chardon.jpg,87.05357142857143,68.00781250000001,432.5,270.5078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes4805.jpeg,106.25,80.35714285714286,466.25,291.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes79181.jpeg,73.66071428571429,61.62499999999999,348.75,343.0078125,Dasypoda hirtipes,500,406
BD_71/Dasypoda hirtipes/5db23165.jpg,97.5,44.25781250000001,352.5,315.50781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85110.jpeg,40.17857142857143,76.78571428571429,425.0,290.5078125,Dasypoda hirtipes,500,344
BD_71/Dasypoda hirtipes/dasypoda_13mm_01s.jpg,234.375,76.40178571428571,498.75,388.0078125,Dasypoda hirtipes,500,398
BD_71/Dasypoda hirtipes/Dasypoda hirtipes86452.jpeg,88.75,39.2578125,465.0,261.7578125,Dasypoda hirtipes,500,345
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6244.jpg,44.642857142857146,53.517857142857146,388.75,295.5078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes79005.jpeg,150.0,61.7578125,375.0,339.2578125,Dasypoda hirtipes,500,469
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6250.jpg,88.75,98.21428571428572,277.5,446.7578125,Dasypoda hirtipes,333,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83889.jpeg,160.0,100.5078125,407.5,324.25781250000006,Dasypoda hirtipes,500,443
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81972.jpeg,102.5,88.0078125,430.0,340.5078125,Dasypoda hirtipes,500,401
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6259.jpg,110.0,81.7578125,451.25,310.50781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes40618.jpeg,96.25,109.2578125,352.5,394.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes77857.jpeg,62.5,60.5078125,440.0,261.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes88032.jpg,13.392857142857142,93.75,289.6205357142857,354.9107142857143,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6256.jpg,123.75,23.0078125,465.0,280.5078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes14752.jpg,58.035714285714285,94.25,445.0,288.0078125,Dasypoda hirtipes,500,377
BD_71/Dasypoda hirtipes/Dasypoda hirtipes92979.jpeg,103.75,80.5078125,416.25,328.0078125,Dasypoda hirtipes,500,396
BD_71/Dasypoda hirtipes/Dasypoda hirtipes38914.jpg,42.410714285714285,73.0078125,417.5,249.75000000000003,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes87013.jpeg,177.5,155.5078125,461.25,371.7578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes50819.jpg,98.75,34.2578125,498.75,285.5078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes41660.jpeg,23.750000000000004,144.2578125,257.5,374.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes52195.jpeg,172.5,7.433035714285714,383.9285714285714,300.5078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/img_1927_2.jpg,102.67857142857144,65.29017857142857,435.0,300.5078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes36811.jpeg,88.75,115.5078125,391.25,391.75781250000006,Dasypoda hirtipes,500,448
BD_71/Dasypoda hirtipes/Dasypoda hirtipes40939.jpg,64.73214285714286,87.05357142857142,403.75,285.5078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85186.jpg,73.75000000000001,118.30357142857144,276.25,358.0078125,Dasypoda hirtipes,333,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84004.jpg,66.96428571428571,151.78571428571428,426.3392857142857,345.98214285714283,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81646.jpeg,111.60714285714286,66.89732142857143,419.6428571428572,292.8616071428572,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/dsc_0127.jpg,107.5,75.5078125,400.0,280.5078125,Dasypoda hirtipes,500,326
BD_71/Dasypoda hirtipes/38rh.jpg,71.25,58.0078125,388.75,355.50781249999994,Dasypoda hirtipes,500,432
BD_71/Dasypoda hirtipes/Dasypoda hirtipes54106.jpg,56.77232142857143,98.21428571428572,416.25,396.7578125,Dasypoda hirtipes,471,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes15675.jpeg,62.5,81.7578125,403.75,319.2578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84284.jpeg,83.75,33.482142857142854,311.25,321.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes15684.jpg,93.75,181.7578125,385.0,441.7578125,Dasypoda hirtipes,485,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes77222.jpg,26.250000000000004,158.48214285714286,318.0803571428571,400.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/5d020724b.jpg,87.5,85.5078125,428.75,309.2578125,Dasypoda hirtipes,500,405
BD_71/Dasypoda hirtipes/Dasypoda hirtipes80360.jpeg,165.0,56.75781250000001,415.0,286.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes41458.jpg,71.25,223.0078125,201.25000000000003,389.2578125,Dasypoda hirtipes,282,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes47924.jpeg,142.85714285714286,36.4375,360.0,350.5078125,Dasypoda hirtipes,500,371
BD_71/Dasypoda hirtipes/di.jpg,73.75,149.2578125,302.50000000000006,359.2578125,Dasypoda hirtipes,423,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes37095.jpeg,167.5,261.7578125,357.5,453.0078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6258.jpg,80.0,24.2578125,450.0,323.00781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes15884.jpg,115.0,19.2578125,377.5,301.7578125,Dasypoda hirtipes,500,350
BD_71/Dasypoda hirtipes/dsc10997_edited_.jpg,113.83928571428572,8.0078125,403.75,311.7578125,Dasypoda hirtipes,500,334
BD_71/Dasypoda hirtipes/Dasypoda hirtipes4174.jpeg,20.089285714285715,82.03125,405.0,248.0078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes42540.jpg,91.25,53.00781250000001,450.0,304.25781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes2557.jpg,11.160714285714286,63.00781250000001,390.0,254.20982142857144,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85363.jpeg,97.5,86.7578125,328.75,376.7578125,Dasypoda hirtipes,484,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes76935.jpeg,162.5,90.5078125,355.0,399.2578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6241.jpg,0.0,164.2578125,332.50000000000006,408.0078125,Dasypoda hirtipes,333,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes48112.jpeg,56.25,55.5078125,466.25,326.7578125,Dasypoda hirtipes,500,400
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6242.jpg,98.21428571428572,74.33035714285714,439.7321428571428,263.12946428571433,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes86166.jpeg,93.75,25.111607142857142,351.25,253.0078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes37359.jpg,60.0,63.924107142857146,390.625,318.00781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes37186.jpeg,186.25,96.7578125,435.0,231.7578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81971.jpeg,98.21428571428572,85.5078125,416.25,320.0357142857143,Dasypoda hirtipes,500,412
BD_71/Dasypoda hirtipes/Dasypoda hirtipes52206.jpeg,67.5,21.7578125,217.5,238.00781250000003,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes52206.jpeg,190.0,80.5078125,308.75,283.0078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes15066.jpeg,110.0,61.75781249999999,418.75,313.00781249999994,Dasypoda hirtipes,500,467
BD_71/Dasypoda hirtipes/Dasypoda hirtipes38328.jpeg,113.75,146.7578125,356.25,379.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes38921.jpg,98.75,63.00781249999999,358.75,328.0078125,Dasypoda hirtipes,500,351
BD_71/Dasypoda hirtipes/Dasypoda hirtipes76257.jpg,73.75,23.0078125,325.0,228.00781250000003,Dasypoda hirtipes,500,338
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84731.jpeg,118.30357142857144,104.70089285714286,370.0,353.0078125,Dasypoda hirtipes,500,499
BD_71/Dasypoda hirtipes/Dasypoda hirtipes78341.jpg,162.5,31.7578125,368.75,353.0078125,Dasypoda hirtipes,500,371
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84349.jpeg,128.75,178.0078125,375.0,373.0078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes45410.jpg,82.5,166.7578125,351.25,336.7578125,Dasypoda hirtipes,448,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84533.jpg,137.5,81.75781249999999,375.0,318.0078125,Dasypoda hirtipes,500,361
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85561.jpeg,108.75,70.5078125,386.25,303.0078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85135.jpeg,138.75,61.75781249999999,388.75,308.0078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/MER 87 -28 07 2021 MERIGNY 15.jpg,75.89285714285714,25.272321428571427,359.375,245.29017857142856,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83395.jpg,78.125,121.7578125,236.25,289.8883928571428,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes87227.jpeg,172.5,59.2578125,401.25,298.0078125,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes42230.jpeg,40.71428571428572,113.0078125,357.5,250.0,Dasypoda hirtipes,456,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes89662.jpeg,75.0,170.5078125,146.25,259.2578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes90740.jpeg,66.25,144.2578125,337.5,368.0078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes44490.jpg,155.0,73.0078125,395.0,298.0078125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes83335.jpeg,52.50000000000001,111.7578125,371.25,321.7578125,Dasypoda hirtipes,499,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes81311.jpg,232.14285714285717,5.9642857142857135,425.0,329.2578125,Dasypoda hirtipes,500,334
BD_71/Dasypoda hirtipes/dsc_0014.jpg,113.83928571428572,47.19196428571429,402.5,264.2578125,Dasypoda hirtipes,500,341
BD_71/Dasypoda hirtipes/Dasypoda hirtipes82639.jpeg,171.25,146.7578125,333.75,320.5078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes49198.jpg,109.375,142.5,421.875,333.85714285714283,Dasypoda hirtipes,500,456
BD_71/Dasypoda hirtipes/Dasypoda hirtipes40481.jpg,112.5,133.0078125,359.375,381.69642857142856,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6262.jpg,56.49107142857143,102.67857142857144,312.50000000000006,289.2578125,Dasypoda hirtipes,333,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes80815.jpeg,162.5,183.0078125,393.75,344.2578125,Dasypoda hirtipes,500,500
