paths;label;bdd
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/189633805.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/74998043.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/125327524.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/192126227.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/141908777.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/191576508.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121985351.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/91443693.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/261853317.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/188510992.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120970007.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/66975452.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/41176535.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/188730372.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/122354661.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/127420727.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121586010.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118910631.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/122342962.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/122743616.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/66923561.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/45044394.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/262818105.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/38125756.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67596532.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118122182.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/199318964.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120865523.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/73869143.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/129347404.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/191805330.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/189043912.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/184495654.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67201530.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/191576684.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121516237.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/127392705.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/122753697.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/77941646.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/119101093.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/127469487.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/81128577.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/37676218.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/135701948.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/133072553.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120867309.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67055780.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/134441553.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/190279005.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/202160035.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/66248360.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/123438576.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/70867136.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/202160119.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/229431774.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/158110032.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/194334902.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/127407557.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/258843068.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/197450350.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121606249.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/189092403.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/253269506.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121509432.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/132691063.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/125123973.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/135584451.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/188145069.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/34028531.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/185092027.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/190271166.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/40506836.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/189061193.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/132690947.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/38033765.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/132119731.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/68383734.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67249547.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/186849477.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/190285458.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/122542841.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/130224497.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/192332683.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67175140.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/69528027.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/137575554.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/200942228.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/69985355.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120002649.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/181318505.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/185350999.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/191104934.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/231518066.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/115108778.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/125246876.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120402170.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/14922267.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/196217609.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/119694445.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/196109190.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/69982359.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/39062962.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/192836155.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/167919560.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/76119050.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/75157877.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/261853494.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/74544356.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/128607435.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/117809347.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/122047677.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/197802280.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/70141183.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/261853281.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/17458749.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/75230201.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/74172644.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/95998164.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/188572472.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/237618283.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/201375159.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/34597564.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121606719.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/194647399.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118095639.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/38907946.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/122949722.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/35887770.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/106544966.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/187234461.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/1739349.JPG;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/255372633.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/71470505.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/69130818.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/18229933.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/33905194.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120617005.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/201621553.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/135817009.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/137035545.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120049288.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/129416264.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/190345711.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/7722491.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/253390414.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/130640448.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/133099218.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/194774179.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/126672308.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/66808340.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/133817576.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118933922.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/73072423.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/103279039.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/194705935.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121325917.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/138517331.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/34297659.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/65892067.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/69160811.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/130224467.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/191104937.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/192298393.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/65729682.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/116864723.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118709599.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/261853455.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/6934376.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/188247174.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/192126242.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/35256480.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/204079862.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120287948.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/178339415.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/73350938.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/255372504.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/72191206.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/186753090.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/41340028.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/141908833.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/206582014.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/187041197.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/25549042.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121494899.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/64532128.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/75230178.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67611685.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/124711907.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/127632333.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/125230302.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/35720383.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/68743318.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/200768849.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/9108535.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/194305000.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/207779432.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/69764140.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120830693.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/18367704.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/133009186.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/65619857.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/194334825.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/66507044.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/133328533.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/66363482.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67417831.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121278089.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/134853110.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/121278064.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120002703.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/134399749.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/183556715.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67326580.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/160650178.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/252113168.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/34659886.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118737918.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/1739557.JPG;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/139191230.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/189180550.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67877714.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/74165307.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118550794.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/195002813.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/132320809.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/36029908.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/127797188.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/179964326.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/196981177.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/191104933.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/120831610.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/65891979.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/36556173.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/75683124.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/72191115.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/207779493.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/90615501.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/40243107.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/214867224.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/255035993.jpeg;Andrena cineraria;
